Ejercicio;Brand;Ind;Cantidad Total;Source;Cantidad de países en los que opera ;Qué muestra?;Check;Observaciones;;;;
1996;Inditex;bn;72,7;Memoria Anual Inditex, 2002, Pág. 16;Beneficio Neto;;;;;;;
2020;Inditex;vEsp;;;Ventas España;volumen de negocio;;;;;;
2019;Inditex;vEsp;0,157;Memoria Anual Inditex 2019, Pág. 12;Ventas España;volumen de negocio;;;;;;
2018;Inditex;vEsp;0,162;Memoria Anual Inditex, 2018, Pág. 20;Ventas España;volumen de negocio;ok;;;;;
2017;Inditex;vEsp;0,163;Memoria Anual Inditex, 2018, Pág. 20;Ventas España;volumen de negocio;ok;;;;;
2016;Inditex;vEsp;0,169;Memoria Anual Inditex, 2018, Pág. 20;Ventas España;volumen de negocio;ok;;;;;
2015;Inditex;vEsp;0,177;Memoria Anual Inditex, 2018, Pág. 20;Ventas España;volumen de negocio;ok;;;;;
2014;Inditex;vEsp;0,19;Memoria Anual Inditex, 2018, Pág. 20;Ventas España;volumen de negocio;ok;;;;;
2013;Inditex;vEsp;0,197;Memoria Anual Inditex, 2017, Pág. 8;Ventas España;;ok;;;;;
2012;Inditex;vEsp;0,21;Memoria Anual Inditex 2012, Pág. 3;Ventas España;;ok;;;;;
2011;Inditex;vEsp;0,272216169;Informe Anual Inditex 2011, Pág, 120;Ventas España;volumen de negocio;ok;;;;;
2010;Inditex;vEsp;0,294199661;Informe Anual Inditex 2011, Pág, 120;Ventas España;volumen de negocio;ok;;;;;
2009;Inditex;vEsp;0,318;Informe Anual Inditex 2009, Pág. 20;Ventas España;;ok;;;;;
2008;Inditex;vEsp;0,339;Memoria Anual Inditex 2008, Pág. 18;Ventas España;volumen de negocio;ok;;;;;
2007;Inditex;vEsp;0,375;Informe Anual Inditex 2007, Pág. 255;Ventas España;;ok;;;;;
2006;Inditex;vEsp;0,396;Informe Anual Inditex 2007, Pág. 255;Ventas España;;ok;;;;;
2005;Inditex;vEsp;0,431;Memoria Anual Inditex 2005, Pág. 34;Ventas España;;ok;;;;;
2004;Inditex;vEsp;0,455;Memoria Anual Inditex 2004, Pág. 14;Ventas España;volumen de negocio;ok;;;;;
2003;Inditex;vEsp;0,461;Informe Anual Inditex 2003, Pág. 78;Ventas España;volumen de negocio;ok;;;;;
2002;Inditex;vEsp;0,46;Informe Anual Inditex 2003, Pág. 78;Ventas España;volumen de negocio;ok;;;;;
2001;Inditex;vEsp;0,46;Memoria Anual Inditex 2001, Pág. 7;Ventas España;;ok;;;;;
2020;Inditex;vUE;;;Ventas Europa sin España;volumen de negocio;;;;;;
2019;Inditex;vUE;0,46;Memoria Anual Inditex 2019, Pág. 12;Ventas Europa sin España;volumen de negocio;;;;;;
2018;Inditex;vUE;0,451;Memoria Anual Inditex, 2018, Pág. 20;Ventas Europa sin España;volumen de negocio;ok;;;;;
2017;Inditex;vUE;0,449;Memoria Anual Inditex, 2018, Pág. 20;Ventas Europa sin España;volumen de negocio;ok;;;;;
2016;Inditex;vUE;0,439;Memoria Anual Inditex, 2018, Pág. 20;Ventas Europa sin España;volumen de negocio;ok;;;;;
2015;Inditex;vUE;0,44;Memoria Anual Inditex, 2018, Pág. 20;Ventas Europa sin España;volumen de negocio;ok;;;;;
2014;Inditex;vUE;0,46;Memoria Anual Inditex, 2018, Pág. 20;Ventas Europa sin España;volumen de negocio;ok;;;;;
2013;Inditex;vUE;0,459;Memoria Anual Inditex, 2017, Pág. 8;Ventas Europa sin España;;ok;;;;;
2012;Inditex;vUE;0,45;Memoria Anual Inditex 2012, Pág. 3;Ventas Europa sin España;;ok;;;;;
2011;Inditex;vUE;0,465085003;Informe Anual Inditex 2011, Pág, 120;Ventas Europa sin España;volumen de negocio;ok;;;;;
2010;Inditex;vUE;0,47156398;Informe Anual Inditex 2011, Pág, 120;Ventas Europa sin España;volumen de negocio;ok;;;;;
2009;Inditex;vUE;0,457;Informe Anual Inditex 2009, Pág. 20;Ventas Europa sin España;;ok;;;;;
2008;Inditex;vUE;0,448;Memoria Anual Inditex 2008, Pág. 18;Ventas Europa sin España;volumen de negocio;ok;;;;;
2007;Inditex;vUE;0,424;Informe Anual Inditex 2007, Pág. 255;Ventas Europa sin España;;ok;;;;;
2006;Inditex;vUE;0,406;Informe Anual Inditex 2007, Pág. 255;Ventas Europa sin España;;ok;;;;;
2005;Inditex;vUE;0,387;Memoria Anual Inditex 2005, Pág. 34;Ventas Europa sin España;;ok;;;;;
